〃,"signo ídem"
酌み交わす,"servirse vino el uno al otro"
酌み交わす,"beber juntos"
酌みかわす,"compartir botella"
酌みかわす,"escanciarse mutuamente"
酌みかわす,"servirse vino el uno al otro"
酌みかわす,"beber juntos"
酌交わす,"compartir botella"
酌交わす,"escanciarse mutuamente"
酌交わす,"servirse vino el uno al otro"
酌交わす,"beber juntos"
釈迦,"Buda Gautama"
釈放,excarcelación
釈放,liberación
釈放,liberar
釈明,explicación
釈明,justificación
釈明,excusa
若い,joven
若さ,juventud
若しくは,o
若しくは,"de otro modo"
若干,ligeramente
若干,algo
若干,poco
幾許,ligeramente
幾許,algo
幾許,poco
若者,joven
若者,muchacho
若手,"joven (persona)"
若鳥丼,"pollito en arroz"
若布,wakame
若布,"alga marina"
若布,"""wakame"": un tipo de alga comestible"
和布,wakame
和布,"alga marina"
和布,"""wakame"": un tipo de alga comestible"
稚海藻,wakame
稚海藻,"alga marina"
稚海藻,"""wakame"": un tipo de alga comestible"
裙蔕菜,wakame
裙蔕菜,"alga marina"
裙蔕菜,"""wakame"": un tipo de alga comestible"
若葉,"hojas jóvenes"
嫩葉,"hojas jóvenes"
寂,"gusto por la sobriedad y la quietud"
寂,"elegancia de la sencillez"
弱,"sufijo: algo menos de..., un poco menos de..."
弱い,débil
弱い,endeble
弱い,delicado
弱い,tierno
弱い,inexperto
弱い,"suave (ej. vino)"
弱さ,debilidad
弱まる,menguar
弱まる,debilitarse
弱まる,demacrarse
弱まる,desmoralizarse
弱まる,"quedar perplejo"
弱める,debilitar
弱る,debilitar
弱る,preocuparse
弱る,"quedar abatido"
弱る,"quedar extenuado"
弱る,"quedar perplejo"
弱る,deteriorar
弱音,quejas
弱音,denuncias
弱音,reclamaciones
弱気,tímido
弱気,cobarde
弱気,pesimista
弱虫,cobarde
弱虫,debilucho
弱点,"punto débil"
弱点,debilidad
弱肉強食,"La supervivencia del más apto"
弱肉強食,"La ley de la selva"
弱齢,juventud
主,principal
重,principal
主,Señor
主,"Dios Nuestro Señor"
主,dueño
主,amo
主,propietario
主として,principalmente
主に,principalmente
主因,"causa principal"
主演,"actuación estelar"
主観,subjetividad
主観主義,subjetivismo
主観的,subjetivamente
主観的,subjetivo
主義,"doctrina (sistema de pensamiento)"
主義,"-ísmo (doctrina de ~)"
主義者,"-ísta (seguidor de la doctrina ~)"
主君,señor
主刑,"pena principal (por oposición a pena accesoria)"
主権,soberanía
主権,supremacía
主権,dominio
主權,soberanía
主權,supremacía
主權,dominio
主語,"sujeto (en gramática)"
主催,organizar
主催,promover
主催,organización
主催,promoción
主催,patrocinio
主宰者,presidente
主治医,"médico de cabecera"
主治医,"médico encargado"
主治医,"médico de la familia (propio)"
主上,emperador
主食,"alimento básico"
主人公,protagonista
主席,jefe
首席,jefe
主体,sujeto
主体,objeto
主体,individuo
主題,tema
主題歌,"tema musical"
主知主義,intelectualismo
主知的,intelectual
主張,insistir
主張,reclamar
主張,exigir
主張,insistencia
主張,"opinión (propia)"
主張者,abogado
主長,jefe
主動,liderazgo
主導権,iniciativa
主任,jefe
主任,director
主任,superior
主筆,"editor en jefe"
主婦,"ama de casa"
主婦,señora
主役,protagonista
主要,importante
取っ組み合う,"afrontar con"
取っ組み合う,"habérselas con"
取っ組合う,"afrontar con"
取っ組合う,"habérselas con"
取り扱う,tratar
取り扱う,manejar
取扱う,tratar
取扱う,manejar
取り囲む,rodear
取り囲む,cercar
取囲む,rodear
取囲む,cercar
取りかこむ,rodear
取りかこむ,cercar
とり囲む,rodear
とり囲む,cercar
取り外す,desmantelar
取り外す,quitar
取り外す,separar
取り外す,remover
取外す,desmantelar
取外す,quitar
取外す,separar
取外す,remover
取りはずす,desmantelar
取りはずす,quitar
取りはずす,separar
取りはずす,remover
取り掛かる,comenzar
取り掛かる,empezar
取りかかる,comenzar
取りかかる,empezar
取り掛る,comenzar
取り掛る,empezar
取掛る,comenzar
取掛る,empezar
取り巻く,circundar
取り巻く,rodear
取巻く,circundar
取巻く,rodear
取りまく,circundar
取りまく,rodear
取り寄せる,"ordenar un envío"
取り寄せる,despachar
取寄せる,"ordenar un envío"
取寄せる,despachar
取り込む,introducir
取り込む,meter
取り込む,implementar
取り込む,adoptar
取込む,introducir
取込む,meter
取込む,implementar
取込む,adoptar
取りこむ,introducir
取りこむ,meter
取りこむ,implementar
取りこむ,adoptar
取り混ぜる,mezclar
取り混ぜる,combinar
取り混ぜる,"hacer un surtido"
取混ぜる,mezclar
取混ぜる,combinar
取混ぜる,"hacer un surtido"
取り残す,"dejar atrás"
取残す,"dejar atrás"
とり残す,"dejar atrás"
取り次ぐ,atender
取り次ぐ,"manejar (un producto, un asunto, etc.)"
取次ぐ,atender
取次ぐ,"manejar (un producto, un asunto, etc.)"
取り継ぐ,atender
取り継ぐ,"manejar (un producto, un asunto, etc.)"
取継ぐ,atender
取継ぐ,"manejar (un producto, un asunto, etc.)"
取り出す,extraer
取り出す,eliminar
取り出す,sacar
取り出す,remover
取出す,extraer
取出す,eliminar
取出す,sacar
取出す,remover
取りだす,extraer
取りだす,eliminar
取りだす,sacar
取りだす,remover
とり出す,extraer
とり出す,eliminar
とり出す,sacar
とり出す,remover
取り除く,eliminar
取り除く,quitar
取除く,eliminar
取除く,quitar
とり除く,eliminar
とり除く,quitar
取りのぞく,eliminar
取りのぞく,quitar
取り消す,cancelar
取り消す,anular
取り消す,invalidar
取り消す,retraer
取消す,cancelar
取消す,anular
取消す,invalidar
取消す,retraer
取り上げる,recoger
取り上げる,descalificar
取り上げる,confiscar
取り上げる,privar
取り上げる,aceptar
取り上げる,adoptar
取り上げる,"escuchar a"
取りあげる,recoger
取りあげる,descalificar
取りあげる,confiscar
取りあげる,privar
取りあげる,aceptar
取りあげる,adoptar
取りあげる,"escuchar a"
取上げる,recoger
取上げる,descalificar
取上げる,confiscar
取上げる,privar
取上げる,aceptar
取上げる,adoptar
取上げる,"escuchar a"
採り上げる,recoger
採り上げる,descalificar
採り上げる,confiscar
採り上げる,privar
採り上げる,aceptar
採り上げる,adoptar
採り上げる,"escuchar a"
とり上げる,recoger
とり上げる,descalificar
とり上げる,confiscar
とり上げる,privar
とり上げる,aceptar
とり上げる,adoptar
とり上げる,"escuchar a"
採りあげる,recoger
採りあげる,descalificar
採りあげる,confiscar
採りあげる,privar
採りあげる,aceptar
採りあげる,adoptar
採りあげる,"escuchar a"
採上げる,recoger
採上げる,descalificar
採上げる,confiscar
採上げる,privar
採上げる,aceptar
採上げる,adoptar
採上げる,"escuchar a"
取り組む,luchar
取り組む,derribar
取り組む,acometer
取り組む,combatir
取り組む,contender
取り組む,afrontar
取り組む,atacar
取り組む,agarrar
取組む,luchar
取組む,derribar
取組む,acometer
取組む,combatir
取組む,contender
取組む,afrontar
取組む,atacar
取組む,agarrar
取り替える,intercambiar
取り替える,reemplazar
取換える,intercambiar
取換える,reemplazar
取り換える,intercambiar
取り換える,reemplazar
取替える,intercambiar
取替える,reemplazar
取りかえる,intercambiar
取りかえる,reemplazar
取換る,intercambiar
取換る,reemplazar
取り調べる,investigar
取り調べる,interrogar
取調べる,investigar
取調べる,interrogar
取り締まる,dirigir
取り締まる,controlar
取り締まる,verificar
取締る,dirigir
取締る,controlar
取締る,verificar
取締まる,dirigir
取締まる,controlar
取締まる,verificar
取り入れる,introducir
取り入れる,meter
取り入れる,implementar
取り入れる,adoptar
採り入れる,introducir
採り入れる,meter
採り入れる,implementar
採り入れる,adoptar
取入れる,introducir
取入れる,meter
取入れる,implementar
取入れる,adoptar
取りいれる,introducir
取りいれる,meter
取りいれる,implementar
取りいれる,adoptar
取り付く,"adherirse (pegarse"
取り付く,colgarse)
取り付く,obsesionarse
取りつく,"adherirse (pegarse"
取りつく,colgarse)
取りつく,obsesionarse
取付く,"adherirse (pegarse"
取付く,colgarse)
取付く,obsesionarse
取り付ける,instalar
取り付ける,obtener
取り付ける,pedir
取り付ける,ordenar
取りつける,instalar
取りつける,obtener
取りつける,pedir
取りつける,ordenar
取付ける,instalar
取付ける,obtener
取付ける,pedir
取付ける,ordenar
取り柄,virtud
取り柄,cualidad
取柄,virtud
取柄,cualidad
取りえ,virtud
取りえ,cualidad
取り得,virtud
取り得,cualidad
取得,virtud
取得,cualidad
取り返す,recuperar
取り返す,recobrar
取り返す,regresar
取返す,recuperar
取返す,recobrar
取返す,regresar
取り戻す,recuperar
取戻す,recuperar
とり戻す,recuperar
取り立てる,cobrar
取り立てる,recaudar
取立てる,cobrar
取立てる,recaudar
取りたてる,cobrar
取りたてる,recaudar
取る,tomar
取る,coger
取る,cosechar
取る,ganar
取れる,"sacarse de"
取れる,"extraerse (fotos también)"
取れる,obtenerse
取れる,trasladarse
取れる,mudarse
取れる,interpretarse
取材,cobertura
取材,reporte
取材,entrevista
取得,adquisición
守り,niñero
守り,niñera
守り,protector
守り,guardian
守り,"cuidar niños"
守り,custodia
守り,cuidado
守り,guarda
守り,guardían
守,niñero
守,niñera
守,protector
守,guardian
守,"cuidar niños"
守,custodia
守,cuidado
守,guarda
守,guardían
守る,proteger
守る,defender
守る,obedecer
守る,guardar
守る,"cumplir (reglas)"
護る,proteger
護る,defender
護る,obedecer
護る,guardar
護る,"cumplir (reglas)"
戍る,proteger
戍る,defender
戍る,obedecer
戍る,guardar
戍る,"cumplir (reglas)"
守衛,guardia
守衛,guardián
守衛,vigilante
守宮,salamanquesa
家守,salamanquesa
守護天使,"ángel de la guarda"
守備,defensa
手,mano
手に入る,obtener
手に入る,"heredar la posesión de"
手にはいる,obtener
手にはいる,"heredar la posesión de"
手に入れる,obtener
手に入れる,conseguir
手にいれる,obtener
手にいれる,conseguir
手の指,dedo
手も無く,fácilmente
手もなく,fácilmente
手淫,masturbación
手淫,onanismo
手応え,reacción
手応え,efecto
手応え,respuesta
手ごたえ,reacción
手ごたえ,efecto
手ごたえ,respuesta
手答え,reacción
手答え,efecto
手答え,respuesta
手回し,preparativos
手回し,arreglos
手がける,manipular
手がける,manejar
手がける,"poner manos a la obra"
手掛ける,manipular
手掛ける,manejar
手掛ける,"poner manos a la obra"
手懸ける,manipular
手懸ける,manejar
手懸ける,"poner manos a la obra"
手間,"tiempo y esfuerzo"
手近,"a la mano"
手近,conocido
手近,familiar
手近か,"a la mano"
手近か,conocido
手近か,familiar
手形,pagaré
手形,"letra de cambio"
手形,cheque
手軽,fácil
手軽,ligero
手芸,"artesanias manuales"
手元,alcance
手元,control
手元,"poder de adquisición"
手許,alcance
手許,control
手許,"poder de adquisición"
手もと,alcance
手もと,control
手もと,"poder de adquisición"
手厚い,cortés
手厚い,atento
手厚い,amable
手厚い,cordial
手厚い,cálido
手厚い,cariñoso
手綱,riendas
手綱,brida
手篭め,violación
手込め,violación
手ごめ,violación
手籠め,violación
手ごろ,"a la mano"
手ごろ,manejable
手頃,"a la mano"
手頃,manejable
手際,destreza
手際,habilidad
手際,prontitud
手ぎわ,destreza
手ぎわ,habilidad
手ぎわ,prontitud
手指,dedo
手紙,carta
手首,"muñeca (de la mano)"
手頸,"muñeca (de la mano)"
手頚,"muñeca (de la mano)"
手術,operar
手術,"practicar una operación"
手術,"intervenir quirúrgicamente"
手術,"operación quirúrgica"
手術室,quirófano
手順,orden
手順,sucesión
手助け,"(una) ayuda"
手錠,esposas
手振り,gesto
手振り,ademán
手振り,seña
手ぶり,gesto
手ぶり,ademán
手ぶり,seña
手数,trabajo
手数,esfuerzo
手数,molestia
手数,lata
手製,"hecho a mano"
手洗い,sanitario
手洗い,"(am) baño"
手洗い,servicio
手洗い,"water (lit lavado de manos)"
手洗,sanitario
手洗,"(am) baño"
手洗,servicio
手洗,"water (lit lavado de manos)"
手前,antes
手前,"este lado"
手前,"apariencia de uno"
手前,"nosotros (pronombre anticuado)"
手前,tú
手前味噌,"echarse flores a sí mismo, autoelogiarse, alabarse a sí mismo"
手早い,ágil
手早い,rápido
手早い,veloz
手早い,vivo
手早い,ligero
手早い,activo
手早い,hábil
手早い,diestro
手早い,mañoso
手ばやい,ágil
手ばやい,rápido
手ばやい,veloz
手ばやい,vivo
手ばやい,ligero
手ばやい,activo
手ばやい,hábil
手ばやい,diestro
手ばやい,mañoso
手足,"manos y pies"
手足,extremidades
手袋,guante
手ぶくろ,guante
手探り,"(a) tientas"
手探り,tanteo
手探り,exploración
手さぐり,"(a) tientas"
手さぐり,tanteo
手さぐり,exploración
手段,método
手段,sistema
手段,modo
手遅れ,"demasiado tarde"
手後れ,"demasiado tarde"
手おくれ,"demasiado tarde"
手伝い,ayuda
手伝い,apoyo
手つだい,ayuda
手つだい,apoyo
手伝う,ayudar
手伝う,asistir
手伝う,"tomar parte en"
手つだう,ayudar
手つだう,asistir
手つだう,"tomar parte en"
手当たり次第,"usar todo lo que se tiene a mano"
手当たり次第,"al azar"
手当たり次第,"de rebote"
手当たり次第,"de carambola"
手当たり次第,"de forma aleatoria"
手当たり次第,indiscriminadamente
手当たり次第,aleatoriamente
手当たり次第,"lo primero que pilla"
手当たり次第,"lo primero que cae en sus manos"
手当たり次第,"al tuntún"
手当たり次第,"a la buena de Dios"
手当たりしだい,"usar todo lo que se tiene a mano"
手当たりしだい,"al azar"
手当たりしだい,"de rebote"
手当たりしだい,"de carambola"
手当たりしだい,"de forma aleatoria"
手当たりしだい,indiscriminadamente
手当たりしだい,aleatoriamente
手当たりしだい,"lo primero que pilla"
手当たりしだい,"lo primero que cae en sus manos"
手当たりしだい,"al tuntún"
手当たりしだい,"a la buena de Dios"
手当り次第,"usar todo lo que se tiene a mano"
手当り次第,"al azar"
手当り次第,"de rebote"
手当り次第,"de carambola"
手当り次第,"de forma aleatoria"
手当り次第,indiscriminadamente
手当り次第,aleatoriamente
手当り次第,"lo primero que pilla"
手当り次第,"lo primero que cae en sus manos"
手当り次第,"al tuntún"
手当り次第,"a la buena de Dios"
手あたりしだい,"usar todo lo que se tiene a mano"
手あたりしだい,"al azar"
手あたりしだい,"de rebote"
手あたりしだい,"de carambola"
手あたりしだい,"de forma aleatoria"
手あたりしだい,indiscriminadamente
手あたりしだい,aleatoriamente
手あたりしだい,"lo primero que pilla"
手あたりしだい,"lo primero que cae en sus manos"
手あたりしだい,"al tuntún"
手あたりしだい,"a la buena de Dios"
手あたり次第,"usar todo lo que se tiene a mano"
手あたり次第,"al azar"
手あたり次第,"de rebote"
手あたり次第,"de carambola"
手あたり次第,"de forma aleatoria"
手あたり次第,indiscriminadamente
手あたり次第,aleatoriamente
手あたり次第,"lo primero que pilla"
手あたり次第,"lo primero que cae en sus manos"
手あたり次第,"al tuntún"
手あたり次第,"a la buena de Dios"
手当りしだい,"usar todo lo que se tiene a mano"
手当りしだい,"al azar"
手当りしだい,"de rebote"
手当りしだい,"de carambola"
手当りしだい,"de forma aleatoria"
手当りしだい,indiscriminadamente
手当りしだい,aleatoriamente
手当りしだい,"lo primero que pilla"
手当りしだい,"lo primero que cae en sus manos"
手当りしだい,"al tuntún"
手当りしだい,"a la buena de Dios"
手動,"de mano"
手動,manual
手動,"accionado a mano"
手入れ,cuidado
手入れ,mantenimiento
手配,preparativos
手配,arreglos
手配,trámites
手はず,preparación
手はず,preparativos
手はず,plan
手はず,programa
手筈,preparación
手筈,preparativos
手筈,plan
手筈,programa
手品,magia
手品,prestidigitación
手品,ilusionismo
手品師,prestidigitador
手品師,mago
手風琴,acordeón
手分け,repartición
手分け,distribución
手分け,racionamiento
手柄,hazaña
手柄,proeza
手がら,hazaña
手がら,proeza
手法,técnica
手本,modelo
手本,muestra
手本,ejemplo
手本,catálogo
手裏剣,"navaja en forma de estrella que usan los ninja"
手話,"lenguaje de signos"
手腕,talento
手腕,capacidad
朱,escarlata
朱,rojo
朱,ensangrentado
朱,bermellón
朱,"rojo vivo"
朱,"color sangre"
緋,escarlata
緋,rojo
緋,ensangrentado
緋,bermellón
緋,"rojo vivo"
緋,"color sangre"
朱印,"sello rojo"
朱点,"marca roja"
殊に,especialmente
殊に,particularmente
殊に,inusualmente
殊に,"por encima de todo"
殊に,"sobre todo"
殊に,adicionalmente
異に,especialmente
異に,particularmente
異に,inusualmente
異に,"por encima de todo"
異に,"sobre todo"
異に,adicionalmente
殊の外,extremadamente
殊の外,muy
殊の外,tremendamente
殊の他,extremadamente
殊の他,muy
殊の他,tremendamente
殊のほか,extremadamente
殊のほか,muy
殊のほか,tremendamente
ことの外,extremadamente
ことの外,muy
ことの外,tremendamente
ことの他,extremadamente
ことの他,muy
ことの他,tremendamente
殊勲,"actos meritorios"
殊更,especialmente
殊更,particularmente
殊更,"de propio"
故,especialmente
故,particularmente
故,"de propio"
狩り,caza
狩,caza
狩る,cazar
猟る,cazar
狩人,cazador
猟人,cazador
狩猟,caza
珠玉,gema
珠玉,joya
種,semilla
種子,semilla
種子,simiente
種族,raza
種族,tribu
種族,familia
種族,especie
種目,"artículo (lista)"
種目,"evento (competencia)"
種類,variedad
種類,tipo
種類,categoría
種類,"contador para diferente orden de cosas"
腫れる,inflarse
腫れる,hincharse
腫れる,abotargarse
脹れる,inflarse
脹れる,hincharse
脹れる,abotargarse
趣,encanto
趣,gracia
趣,gusto
趣,aire
趣き,encanto
趣き,gracia
趣き,gusto
趣き,aire
趣旨,propósito
趣旨,intención
主旨,propósito
主旨,intención
趣味,hobby
趣味,gusto
趣味,preferencia
酒,sake
酒,"bebida alcohólica en general"
お酒,sake
御酒,sake
酒屋,taberna
酒屋,destiladora
酒肴,"comida y bebida"
酒場,bar
酒場,cantina
酒場,taberna
酒池肉林,"alcohol y carne a raudales"
酒池肉林,"kilos de carne y toneles de vino"
酒池肉林,"gran banquete"
酒池肉林,"gran festín"
酒池肉林,orgía
酒池肉林,bacanal
酒池肉林,"desmadre o juerga en la que no falta de nada"
酒類,"bebidas alcohólicas"
酒類,licor
首をかしげる,"torcer el gesto"
首をかしげる,"ladear la cabeza en señal de no"
首を傾げる,"torcer el gesto"
首を傾げる,"ladear la cabeza en señal de no"
首を切る,"cortar el cuello"
首を切る,decapitar
首を切る,destituir
首を切る,cesar
首を切る,despedir
首を長くする,"esperar con impaciencia"
首をながくする,"esperar con impaciencia"
首筋,nuca
頚筋,nuca
頸筋,nuca
首すじ,nuca
首飾り,collar
首飾り,gargantilla
頸飾り,collar
頸飾り,gargantilla
頚飾り,collar
頚飾り,gargantilla
首相,"el Primer Ministro"
首長,jefe
首都,capital
首脳,cabeza
首脳,jefe
首脳,líder
主脳,cabeza
主脳,jefe
主脳,líder
首脳会談,"cumbre de jefes de estado y de gobierno"
首脳会談,"conferencia en la cumbre"
主脳会談,"cumbre de jefes de estado y de gobierno"
主脳会談,"conferencia en la cumbre"
首輪,collar
頸環,collar
頸輪,collar
頚輪,collar
儒学,Confucianismo
儒教,Confucianismo
儒教主義,Confucianismo
儒道,Confucianismo
受かる,pasar(prueba)
受かる,"aprobar (examen)"
受ける,emprender
受ける,aceptar
受ける,tomar(lección
受ける,examen)
受ける,experimentar
受ける,"agarrar(ej. una pelota)"
受ける,"hacerse popular"
請ける,emprender
請ける,aceptar
請ける,tomar(lección
請ける,examen)
請ける,experimentar
請ける,"agarrar(ej. una pelota)"
請ける,"hacerse popular"
承ける,emprender
承ける,aceptar
承ける,tomar(lección
承ける,examen)
承ける,experimentar
承ける,"agarrar(ej. una pelota)"
承ける,"hacerse popular"
享ける,emprender
享ける,aceptar
享ける,tomar(lección
享ける,examen)
享ける,experimentar
享ける,"agarrar(ej. una pelota)"
享ける,"hacerse popular"
受け継ぐ,heredar
受け継ぐ,suceder
受けつぐ,heredar
受けつぐ,suceder
受け止める,atrapar
受け止める,tomar
受け止める,detener
受けとめる,atrapar
受けとめる,tomar
受けとめる,detener
受け持つ,encargarse
受け持つ,"estar a cargo de"
受け取る,recibir
受け取る,obtener
受け取る,aceptar
受け取る,tomar
受け取る,coger
受け取る,interpretar
受け取る,entender
受けとる,recibir
受けとる,obtener
受けとる,aceptar
受けとる,tomar
受けとる,coger
受けとる,interpretar
受けとる,entender
受取る,recibir
受取る,obtener
受取る,aceptar
受取る,tomar
受取る,coger
受取る,interpretar
受取る,entender
請け取る,recibir
請け取る,obtener
請け取る,aceptar
請け取る,tomar
請け取る,coger
請け取る,interpretar
請け取る,entender
請取る,recibir
請取る,obtener
請取る,aceptar
請取る,tomar
請取る,coger
請取る,interpretar
請取る,entender
うけ取る,recibir
うけ取る,obtener
うけ取る,aceptar
うけ取る,tomar
うけ取る,coger
うけ取る,interpretar
うけ取る,entender
受け入れ,aceptar
受け入れ,tomar
受け入れ,recibir
受入れ,aceptar
受入れ,tomar
受入れ,recibir
受入,aceptar
受入,tomar
受入,recibir
受け入れる,"aceptar (decír que sí)"
受入れる,"aceptar (decír que sí)"
受け容れる,"aceptar (decír que sí)"
受けいれる,"aceptar (decír que sí)"
受容れる,"aceptar (decír que sí)"
受け売り,remedo
受け売り,"idea o teoría que se explica como propia sin serlo"
受売り,remedo
受売り,"idea o teoría que se explica como propia sin serlo"
請け売り,remedo
請け売り,"idea o teoría que se explica como propia sin serlo"
請売り,remedo
請売り,"idea o teoría que se explica como propia sin serlo"
受け付ける,"ser aceptado"
受け付ける,"recibir (una aplicación)"
受けつける,"ser aceptado"
受けつける,"recibir (una aplicación)"
受付ける,"ser aceptado"
受付ける,"recibir (una aplicación)"
受け流す,esquivar
受け流す,desviar
受け流す,sortear
受け流す,evadir
受け流す,eludir
受け流す,sacudirse
受け流す,"quitarse de encima"
受け流す,capear
受流す,esquivar
受流す,desviar
受流す,sortear
受流す,evadir
受流す,eludir
受流す,sacudirse
受流す,"quitarse de encima"
受流す,capear
受刑,castigo
受験,"tener un examen"
受取り,recibo
受け取り,recibo
受取,recibo
受け取,recibo
請け取り,recibo
請取り,recibo
請取,recibo
請け取,recibo
受賞,"recibir un premio"
受賞,"ser premiado"
受賞,premiado
受賞者,"premio ganador"
受信,"recepción (emisora de radio)"
受信,"recibir (mensajes, información, ondas)"
受信,captar
受信者,destinatario
受身,pasivo
受身,"cuerpo pasivo"
受身,"voz pasiva"
受け身,pasivo
受け身,"cuerpo pasivo"
受け身,"voz pasiva"
受洗,bautizo
受洗,bautismo
受像,"recepción (televisión)"
受注,"recepción de un pedido"
受注,"recepción de un encargo"
受註,"recepción de un pedido"
受註,"recepción de un encargo"
受動,pasivo
受動的,pasivo
受難,sufrimiento
受難,agonía
受難,pasión
受容,recepción
受容者,destinatario
受領,recibir
受領,cobrar
受領,"acuse de recibo (de una carta)"
受領,"confirmación de recibido"
受話器,"auricular (del teléfono)"
受話機,"auricular (del teléfono)"
呪い,maldición
呪い,hechizo
詛い,maldición
詛い,hechizo
咒い,maldición
咒い,hechizo
呪い,conjuro
呪い,sortilegio
咒い,conjuro
咒い,sortilegio
呪う,maldecir
詛う,maldecir
呪縛,maldición
呪縛,hechizo
呪文,hechizo
じゅ文,hechizo
寿,parabién
寿,congratulación
寿,"felicitación de palabra"
寿,"larga vida"
壽,parabién
壽,congratulación
壽,"felicitación de palabra"
壽,"larga vida"
寿く,felicitar
寿命,longevidad
寿命,vida
寿命,uso
寿命,utilidad
授かる,"ser premiado"
授ける,depositar
授ける,entregar
授業,clase
授業,lección
授賞,"conceder un premio"
授賞,premiar
授賞,"otorgar un premio"
授乳,"lactancia (suministro de leche al bebé por parte de la madre)"
授乳,"dar de mamar"
授乳,amamantar
授与,otorgar
授与,conceder
樹脂,resina
樹脂,látex
樹脂,exudado
樹皮,"corteza de un árbol"
樹木,árbol
樹木,"árboles y arbustos"
樹立,instaurar
樹立,establecimiento
樹立,fundación
樹齢,"edad de un árbol"
需給,"oferta y demanda"
需要,demanda
需要,solicitud
需要供給,"oferta y demanda"
囚人,prisionero
召人,prisionero
収まる,"caber en"
収まる,alojarse
収まる,finalizarse
納まる,"caber en"
納まる,alojarse
納まる,finalizarse
収益,ganancias
収益,dividendos
収穫,cosechar
収穫,recolectar
収穫,cosecha
収穫期,"época de cosecha"
収穫期,"temporada de recogida"
収金,recaudación
収金,cobro
収支,balance
収拾,manejo
収拾,dominio
収拾,control
収縮,contraerse
収縮,encogerse
収縮,retraerse
収税,"recaudar impuestos"
収税,"recaudación de impuestos"
収束,confluir
収束,converger
収束,convergencia
収入,ingresos
収納,cobrar
収納,recaudar
収納,cobro
収納,recaudación
収容,capacidad
収容,cabida
収容,aforo
収容,espacio
収用,expropiación
ぐるり,"en circulos"
周囲,entorno
周囲,alrededores
周囲,circunferencia
周囲長,perímetro
周忌,"aniversario de la muerte"
周期,ciclo
周期,período
周旋,"buenos oficios"
周旋,mediación
周知,sabido
周知,divulgado
周知,conocido
周知,notorio
周到,meticuloso
周到,minucioso
周到,cuidadoso
周到,esmerado
周波,ciclo
周波,onda
周波,frecuencia
周波数,"frecuencia (de ondas)"
周波数変調,"Frecuencia Modulada"
周波数変調,FM
周波変調,"frecuencia modulada"
周波変調,FM
周辺,"en los alrededores"
宗家,"cabeza de familia"
宗家,creador
宗教,religión
宗旨,religión
宗祖,"fundador de una secta"
就く,colonizar
就く,"establecer en (lugar)"
就く,"tomar (asiento"
就く,posición)
就く,"estudiar (bajo un maestro)"
即く,colonizar
即く,"establecer en (lugar)"
即く,"tomar (asiento"
即く,posición)
即く,"estudiar (bajo un maestro)"
就ける,poner
就ける,colocar
即ける,poner
即ける,colocar
就学義務,"obligación de escolarización"
就学年齢,"edad escolar"
就業,"actividad laboral"
就業,trabajo
就業地,"lugar de trabajo"
就職,"buscar trabajo"
就職,"toma de posesión de un cargo"
就職運動,"búsqueda de empleo"
就職運動,"búsqueda de trabajo"
就職先,"lugar de trabajo"
就任,"toma de posición"
州,región
州,"estado miembro (de un Estado federal)"
州,provincia
州,cantón
州,"comunidad autónoma"
洲,región
洲,"estado miembro (de un Estado federal)"
洲,provincia
洲,cantón
洲,"comunidad autónoma"
州,"banco de arena"
洲,"banco de arena"
修める,conquistar
修める,dominar
修める,abarcar
修学,aprendizaje
修学旅行,excursión
修学旅行,"viaje de aprendizaje"
修士,maestría
修辞学,retórica
修辞法,retórica
修整,retocar
修正,corrección
修正,enmienda
修正,rectificación
修正,corregir
修正,rectificar
修正,modificar
修正,enmendar
修繕,reparación
修繕,arreglo
修繕工場,taller
修道士,monje
修復,rehabilitar
修復,restaurar
修復,reconstruir
修復,reparación
修復,arreglo
修覆,rehabilitar
修覆,restaurar
修覆,reconstruir
修覆,reparación
修覆,arreglo
修理,reparación
修理,arreglo
修理,restauración
修理屋,"taller de reparaciones (autos)"
修理工,mecánico
修了,conclusión
修了,fin
修了証書,"certificado de fin de estudios"
修了証書,"diploma de fin de estudios"
愁傷,lamento
愁傷,pesar
拾う,reunir
拾う,juntar
拾う,encontrar
拾う,coger
拾う,recoger
拾得,hallazgo
秀でる,destacar
秀でる,sobresalir
秀逸,excelencia
秀才,prodigio
秋,otoño
秋刀魚,"paparda del pacífico"
秋刀魚,"pez saurio"
秋風,"brisa de otoño"
秋風,"aire frío"
秋分,"equinoccio de otoño"
秋分の日,"día de equinoccio de otoño (23 o 24 de Sep)"
終える,finalizar
了える,finalizar
卒える,finalizar
終局,final
終局,conclusión
終局,término
終結,fin
終結,final
終結,conclusión
終始,siempre
終始,"de principio a fin"
終止,final
終止,fin
終止,conclusión
終止,término
終止符,"punto final"
終止符,final
終身,"toda la vida"
終戦,armisticio
終戦,"fin de la guerra"
終着駅,estación
終着駅,terminal
終点,"terminal de transportes"
終電,"último tren"
終電車,"último tren"
終日,"del amanecer hasta el anochecer"
終幕,"caída del telón"
終幕,fin
終幕,conclusión
終夜,"toda la noche"
終夜,nocturno
終了,finalizar
終了,cerrar
終了,terminación
習う,aprender
習慣,costumbre
習慣,hábito
習慣,maneras
習字,caligrafía
習性,rasgo
臭い,olor
臭い,fetidez
臭い物に蓋,"lavar los trapos sucios en casa"
臭い物に蓋,"salvar las apariencias"
